config,algo,n,m,threads,median_ms,min_ms,load_ms,kernel_ms,speedup_vs_1t,efficiency,checksum_ok,error
default,cc,1000000,1000000,1,1150.329717999739,1139.9640979998367,140.19434900001215,1010.1353689997268,1.0,1.0,True,
default,cc,1000000,1000000,2,1054.5627490000697,1007.927822000056,118.5862359998282,935.9765130002415,1.0792315351608253,0.5396157675804126,True,
default,cc,1000000,1000000,4,1006.2571720000051,997.1032100002049,88.6845859999994,917.5725860000057,1.1008778862969655,0.27521947157424137,True,
default,cc,1000000,1000000,6,990.8005769998454,911.870232000183,89.86108899989631,900.939487999949,1.1212022366143461,0.18686703943572436,True,
default,cc,1000000,1000000,8,975.8546319999368,881.778506000046,64.54272700011643,911.3119049998204,1.108440878976475,0.13855510987205938,True,
default,cc,1000000,1000000,10,983.9769370000795,968.5793520002335,66.7223959999319,917.2545410001476,1.1012596000869121,0.11012596000869121,True,
default,cc,1000000,1000000,12,1032.6776719998634,970.7175819999065,68.73932300004526,963.9383489998181,1.047925284897984,0.087327107074832,True,
default,kcore,1000000,1000000,1,479.26286800020534,463.88995300003444,140.19434900001215,339.0685190001932,1.0,1.0,True,
default,kcore,1000000,1000000,2,497.8860659998645,454.994847999842,118.5862359998282,379.2998300000363,0.8939326943546501,0.44696634717732503,True,
default,kcore,1000000,1000000,4,484.18981599979816,457.4702330000946,88.6845859999994,395.50522999979876,0.8573047668683565,0.21432619171708914,True,
default,kcore,1000000,1000000,6,507.89154900030553,507.7866510000604,89.86108899989631,418.0304600004092,0.8111095995250233,0.13518493325417055,True,
default,kcore,1000000,1000000,8,499.2166739998538,492.5397540000631,64.54272700011643,434.6739469997374,0.7800525459152905,0.09750656823941131,True,
default,kcore,1000000,1000000,10,527.3003550000794,524.3739180000375,66.7223959999319,460.57795900014753,0.7361805148823558,0.07361805148823558,True,
default,kcore,1000000,1000000,12,574.9583510000775,531.2350730000617,68.73932300004526,506.21902800003227,0.6698059540349234,0.05581716283624361,True,
default,bfs_parent,1000000,1000000,1,308.4666869999637,297.789818000183,140.19434900001215,168.27233799995156,1.0,1.0,True,
default,bfs_parent,1000000,1000000,2,224.10143000024618,214.61578600019493,118.5862359998282,105.51519400041798,1.5947687875102137,0.7973843937551068,True,
default,bfs_parent,1000000,1000000,4,166.2009029996625,165.85365900027682,88.6845859999994,77.5163169996631,2.170798929994093,0.5426997324985232,True,
default,bfs_parent,1000000,1000000,6,167.40360799985865,158.71596100032548,89.86108899989631,77.54251899996234,2.1700654063099662,0.3616775677183277,True,
default,bfs_parent,1000000,1000000,8,136.49527400002626,131.26169699989987,64.54272700011643,71.95254699990983,2.338657143021809,0.29233214287772613,True,
default,bfs_parent,1000000,1000000,10,130.60479500018118,129.7044029997778,66.7223959999319,63.88239900024928,2.634095472828047,0.2634095472828047,True,
default,bfs_parent,1000000,1000000,12,148.80946100038273,145.5685910000284,68.73932300004526,80.07013800033747,2.1015617332799197,0.1751301444399933,True,
default,pagerank,1000000,1000000,1,548.9387789998545,538.0903780001063,140.19434900001215,408.7444299998424,1.0,1.0,True,
default,pagerank,1000000,1000000,2,550.1348089997009,530.7234060001065,118.5862359998282,431.5485729998727,0.9471574130311468,0.4735787065155734,True,
default,pagerank,1000000,1000000,4,561.4613630000349,547.6757700002963,88.6845859999994,472.7767770000355,0.8645611415042319,0.21614028537605798,True,
default,pagerank,1000000,1000000,6,612.8420459999688,589.0622080000867,89.86108899989631,522.9809570000725,0.7815665647645861,0.130261094127431,True,
default,pagerank,1000000,1000000,8,641.6738329999134,593.7814570002047,64.54272700011643,577.131105999797,0.7082349673247142,0.08852937091558928,True,
default,pagerank,1000000,1000000,10,683.8298679999752,680.7144289996359,66.7223959999319,617.1074720000433,0.6623553409183379,0.06623553409183379,True,
default,pagerank,1000000,1000000,12,790.7979850001539,771.1667369999304,68.73932300004526,722.0586620001086,0.5660820256177204,0.04717350213481003,True,
default,sssp,1000000,1000000,1,757.1054330001061,731.9386950002809,161.5232730000571,595.582160000049,1.0,1.0,True,
default,sssp,1000000,1000000,2,856.9725679999465,815.7333670001208,144.6735169997737,712.2990510001728,0.8361406057803447,0.41807030289017233,True,
default,sssp,1000000,1000000,4,890.5369469998732,887.692388999767,89.72227599997495,800.8146709998982,0.7437203407579989,0.18593008518949972,True,
default,sssp,1000000,1000000,6,963.4473449996221,958.9127979998011,93.0199179997544,870.4274269998677,0.6842410309298992,0.11404017182164987,True,
default,sssp,1000000,1000000,8,944.0874209999492,935.1410509998459,78.29716100013684,865.7902599998124,0.6879058214401466,0.08598822768001832,True,
default,sssp,1000000,1000000,10,932.0743640000728,887.3698369998237,80.26636799968401,851.8079960003888,0.6991976628495715,0.06991976628495715,True,
default,sssp,1000000,1000000,12,996.9793350001055,943.5206819998712,84.36351900036243,912.6158159997431,0.6526099477550767,0.05438416231292306,True,
default,pagerank_dataidx,1000000,1000000,1,584.7335390003536,563.4146679999503,140.19434900001215,444.5391900003415,1.0,1.0,True,
default,pagerank_dataidx,1000000,1000000,2,600.1674809999713,597.2578320001958,118.5862359998282,481.5812450001431,0.9230824385617621,0.46154121928088104,True,
default,pagerank_dataidx,1000000,1000000,4,599.0242240000043,595.8452149998266,88.6845859999994,510.3396380000049,0.8710653786221034,0.21776634465552586,True,
default,pagerank_dataidx,1000000,1000000,6,686.0849589997997,631.4031680003609,89.86108899989631,596.2238699999034,0.7455910646455894,0.12426517744093157,True,
default,pagerank_dataidx,1000000,1000000,8,689.4664589999593,643.8316139997369,64.54272700011643,624.9237319998429,0.7113495091277047,0.08891868864096308,True,
default,pagerank_dataidx,1000000,1000000,10,784.4276890000401,712.7091770003062,66.7223959999319,717.7052930001082,0.6193895939405792,0.06193895939405793,True,
default,pagerank_dataidx,1000000,1000000,12,895.2761609998561,749.9257579997902,68.73932300004526,826.5368379998108,0.5378334873447507,0.04481945727872922,True,
default,bfs_set,1000000,1000000,1,461.81594000017867,451.31196800002726,140.19434900001215,321.6215910001665,1.0,1.0,True,
default,bfs_set,1000000,1000000,2,449.11654399993495,446.9284349997906,118.5862359998282,330.53030800010674,0.9730472008638392,0.4865236004319196,True,
default,bfs_set,1000000,1000000,4,419.3224879995796,418.62736800021594,88.6845859999994,330.6379019995802,0.9727305582787507,0.24318263956968766,True,
default,bfs_set,1000000,1000000,6,427.06624699985696,421.0731430002852,89.86108899989631,337.20515799996065,0.9537860954078409,0.15896434923464015,True,
default,bfs_set,1000000,1000000,8,402.6899199998297,395.8360920000814,64.54272700011643,338.1471929997133,0.9511289688583611,0.11889112110729513,True,
default,bfs_set,1000000,1000000,10,400.06417700033126,393.5837139997602,66.7223959999319,333.34178100039935,0.9648403210510872,0.09648403210510872,True,
default,bfs_set,1000000,1000000,12,412.8277290001279,401.5927260002172,68.73932300004526,344.0884060000826,0.9347062713879679,0.07789218928233066,True,
tuned,cc,1000000,1000000,1,1150.5193390003114,1097.9497059997811,140.19434900001215,1010.3249900002993,1.0,1.0,True,
tuned,cc,1000000,1000000,2,1118.8491689999864,1111.3169659997766,118.5862359998282,1000.2629330001582,1.0100594120487512,0.5050297060243756,True,
