algo,n,m,candidate,detail
pagerank,125000,125000,1,"[graph-frontier] candidate: main driver=foreach.cond64 inner=foreach_nbr.cond87 kind=1 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(next_rank,V):SameRoundRead ⊗ U+(next_rank,V)  temporal=SameRoundRead  expr:  pre=R(out_degree,U)⊕R(cur_rank,U)  pair=R(next_rank,V)⊕U+(next_rank,V)  epi=ε  gated=0"
pagerank,250000,250000,0,"[graph-frontier] candidate: main driver=foreach.cond21 inner=foreach_nbr.cond kind=2 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(out_degree,U):SameRoundRead ⊗ U+(out_degree,U)  temporal=SameRoundRead  expr:  pre=ε  pair=R(out_degree,U)⊕U+(out_degree,U)  epi=ε  gated=0"
pagerank,250000,250000,1,"[graph-frontier] candidate: main driver=foreach.cond64 inner=foreach_nbr.cond87 kind=1 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(next_rank,V):SameRoundRead ⊗ U+(next_rank,V)  temporal=SameRoundRead  expr:  pre=R(out_degree,U)⊕R(cur_rank,U)  pair=R(next_rank,V)⊕U+(next_rank,V)  epi=ε  gated=0"
pagerank,500000,500000,0,"[graph-frontier] candidate: main driver=foreach.cond21 inner=foreach_nbr.cond kind=2 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(out_degree,U):SameRoundRead ⊗ U+(out_degree,U)  temporal=SameRoundRead  expr:  pre=ε  pair=R(out_degree,U)⊕U+(out_degree,U)  epi=ε  gated=0"
pagerank,500000,500000,1,"[graph-frontier] candidate: main driver=foreach.cond64 inner=foreach_nbr.cond87 kind=1 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(next_rank,V):SameRoundRead ⊗ U+(next_rank,V)  temporal=SameRoundRead  expr:  pre=R(out_degree,U)⊕R(cur_rank,U)  pair=R(next_rank,V)⊕U+(next_rank,V)  epi=ε  gated=0"
pagerank,1000000,1000000,0,"[graph-frontier] candidate: main driver=foreach.cond21 inner=foreach_nbr.cond kind=2 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(out_degree,U):SameRoundRead ⊗ U+(out_degree,U)  temporal=SameRoundRead  expr:  pre=ε  pair=R(out_degree,U)⊕U+(out_degree,U)  epi=ε  gated=0"
pagerank,1000000,1000000,1,"[graph-frontier] candidate: main driver=foreach.cond64 inner=foreach_nbr.cond87 kind=1 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(next_rank,V):SameRoundRead ⊗ U+(next_rank,V)  temporal=SameRoundRead  expr:  pre=R(out_degree,U)⊕R(cur_rank,U)  pair=R(next_rank,V)⊕U+(next_rank,V)  epi=ε  gated=0"
sssp,125000,125000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=0 env=1 shadow=1  R(dist,U):PreviousRoundRead ⊗ R(dist,V):SameRoundRead ⊗ Umin(dist,V) ⊗ Activate(next,V) ⊗ R(dist,U):PreviousRoundRead  temporal=PreviousRoundRead  expr:  pre=R(dist,U)  pair=R(dist,U)⊕R(dist,V)⊕Umin(dist,V)⊕Activate(next,V)  epi=ε  gated=1"
sssp,250000,250000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=0 env=1 shadow=1  R(dist,U):PreviousRoundRead ⊗ R(dist,V):SameRoundRead ⊗ Umin(dist,V) ⊗ Activate(next,V) ⊗ R(dist,U):PreviousRoundRead  temporal=PreviousRoundRead  expr:  pre=R(dist,U)  pair=R(dist,U)⊕R(dist,V)⊕Umin(dist,V)⊕Activate(next,V)  epi=ε  gated=1"
sssp,500000,500000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=0 env=1 shadow=1  R(dist,U):PreviousRoundRead ⊗ R(dist,V):SameRoundRead ⊗ Umin(dist,V) ⊗ Activate(next,V) ⊗ R(dist,U):PreviousRoundRead  temporal=PreviousRoundRead  expr:  pre=R(dist,U)  pair=R(dist,U)⊕R(dist,V)⊕Umin(dist,V)⊕Activate(next,V)  epi=ε  gated=1"
sssp,1000000,1000000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=0 env=1 shadow=1  R(dist,U):PreviousRoundRead ⊗ R(dist,V):SameRoundRead ⊗ Umin(dist,V) ⊗ Activate(next,V) ⊗ R(dist,U):PreviousRoundRead  temporal=PreviousRoundRead  expr:  pre=R(dist,U)  pair=R(dist,U)⊕R(dist,V)⊕Umin(dist,V)⊕Activate(next,V)  epi=ε  gated=1"
pagerank_dataidx,125000,125000,0,"[graph-frontier] candidate: main driver=foreach.cond25 inner=foreach_nbr.cond kind=2 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(out_degree,U):SameRoundRead ⊗ U+(out_degree,U)  temporal=SameRoundRead  expr:  pre=ε  pair=R(out_degree,U)⊕U+(out_degree,U)  epi=ε  gated=0"
pagerank_dataidx,125000,125000,1,[graph-frontier] candidate: main driver=<none> inner=loopcond kind=0 red=0 sep=0 data=1 fw=0 env=0 shadow=0
pagerank_dataidx,125000,125000,2,[graph-frontier] candidate: main driver=<none> inner=foreach.cond51 kind=0 red=0 sep=0 data=1 fw=0 env=0 shadow=0
pagerank_dataidx,125000,125000,3,"[graph-frontier] candidate: main driver=foreach.cond70 inner=foreach_nbr.cond93 kind=1 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(next_rank,V):SameRoundRead ⊗ U+(next_rank,V)  temporal=SameRoundRead  expr:  pre=R(out_degree,U)⊕R(cur_rank,U)  pair=R(next_rank,V)⊕U+(next_rank,V)  epi=ε  gated=0"
pagerank_dataidx,250000,250000,0,"[graph-frontier] candidate: main driver=foreach.cond25 inner=foreach_nbr.cond kind=2 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(out_degree,U):SameRoundRead ⊗ U+(out_degree,U)  temporal=SameRoundRead  expr:  pre=ε  pair=R(out_degree,U)⊕U+(out_degree,U)  epi=ε  gated=0"
pagerank_dataidx,250000,250000,1,[graph-frontier] candidate: main driver=<none> inner=loopcond kind=0 red=0 sep=0 data=1 fw=0 env=0 shadow=0
pagerank_dataidx,250000,250000,2,[graph-frontier] candidate: main driver=<none> inner=foreach.cond51 kind=0 red=0 sep=0 data=1 fw=0 env=0 shadow=0
pagerank_dataidx,250000,250000,3,"[graph-frontier] candidate: main driver=foreach.cond70 inner=foreach_nbr.cond93 kind=1 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(next_rank,V):SameRoundRead ⊗ U+(next_rank,V)  temporal=SameRoundRead  expr:  pre=R(out_degree,U)⊕R(cur_rank,U)  pair=R(next_rank,V)⊕U+(next_rank,V)  epi=ε  gated=0"
pagerank_dataidx,500000,500000,0,"[graph-frontier] candidate: main driver=foreach.cond25 inner=foreach_nbr.cond kind=2 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(out_degree,U):SameRoundRead ⊗ U+(out_degree,U)  temporal=SameRoundRead  expr:  pre=ε  pair=R(out_degree,U)⊕U+(out_degree,U)  epi=ε  gated=0"
pagerank_dataidx,500000,500000,1,[graph-frontier] candidate: main driver=<none> inner=loopcond kind=0 red=0 sep=0 data=1 fw=0 env=0 shadow=0
pagerank_dataidx,500000,500000,2,[graph-frontier] candidate: main driver=<none> inner=foreach.cond51 kind=0 red=0 sep=0 data=1 fw=0 env=0 shadow=0
pagerank_dataidx,500000,500000,3,"[graph-frontier] candidate: main driver=foreach.cond70 inner=foreach_nbr.cond93 kind=1 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(next_rank,V):SameRoundRead ⊗ U+(next_rank,V)  temporal=SameRoundRead  expr:  pre=R(out_degree,U)⊕R(cur_rank,U)  pair=R(next_rank,V)⊕U+(next_rank,V)  epi=ε  gated=0"
pagerank_dataidx,1000000,1000000,0,"[graph-frontier] candidate: main driver=foreach.cond25 inner=foreach_nbr.cond kind=2 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(out_degree,U):SameRoundRead ⊗ U+(out_degree,U)  temporal=SameRoundRead  expr:  pre=ε  pair=R(out_degree,U)⊕U+(out_degree,U)  epi=ε  gated=0"
pagerank_dataidx,1000000,1000000,1,[graph-frontier] candidate: main driver=<none> inner=loopcond kind=0 red=0 sep=0 data=1 fw=0 env=0 shadow=0
pagerank_dataidx,1000000,1000000,2,[graph-frontier] candidate: main driver=<none> inner=foreach.cond51 kind=0 red=0 sep=0 data=1 fw=0 env=0 shadow=0
pagerank_dataidx,1000000,1000000,3,"[graph-frontier] candidate: main driver=foreach.cond70 inner=foreach_nbr.cond93 kind=1 red=0 sep=1 data=0 fw=0 env=0 shadow=0  R(next_rank,V):SameRoundRead ⊗ U+(next_rank,V)  temporal=SameRoundRead  expr:  pre=R(out_degree,U)⊕R(cur_rank,U)  pair=R(next_rank,V)⊕U+(next_rank,V)  epi=ε  gated=0"
bfs_set,125000,125000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=1 env=1 shadow=0  R(visited,V):SameRoundRead ⊗ Claim(visited,V) ⊗ W(parent,V) ⊗ Activate(next,V)  temporal=SameRoundRead  expr:  pre=ε  pair=R(visited,V)⊕Claim(visited,V)⊕W(parent,V)⊕Activate(next,V)  epi=ε  gated=1"
bfs_set,250000,250000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=1 env=1 shadow=0  R(visited,V):SameRoundRead ⊗ Claim(visited,V) ⊗ W(parent,V) ⊗ Activate(next,V)  temporal=SameRoundRead  expr:  pre=ε  pair=R(visited,V)⊕Claim(visited,V)⊕W(parent,V)⊕Activate(next,V)  epi=ε  gated=1"
bfs_set,500000,500000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=1 env=1 shadow=0  R(visited,V):SameRoundRead ⊗ Claim(visited,V) ⊗ W(parent,V) ⊗ Activate(next,V)  temporal=SameRoundRead  expr:  pre=ε  pair=R(visited,V)⊕Claim(visited,V)⊕W(parent,V)⊕Activate(next,V)  epi=ε  gated=1"
bfs_set,1000000,1000000,0,"[graph-frontier] candidate: main driver=foreach_set.cond inner=foreach_nbr.cond kind=1 red=0 sep=1 data=0 fw=1 env=1 shadow=0  R(visited,V):SameRoundRead ⊗ Claim(visited,V) ⊗ W(parent,V) ⊗ Activate(next,V)  temporal=SameRoundRead  expr:  pre=ε  pair=R(visited,V)⊕Claim(visited,V)⊕W(parent,V)⊕Activate(next,V)  epi=ε  gated=1"
