graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
copresence-InVS15,1871,1283194,Insert,CSR,39824383.7,61204575,19563069,0.237,PCSR,SET,
copresence-InVS15,1871,1283194,Insert,PCSR,10957.3,,,,PCSR,SET,
copresence-InVS15,1871,1283194,Insert,BCSR,72644332.1,83577572,18857350,0.167,PCSR,SET,
copresence-InVS15,1871,1283194,Insert,SET,77005161.5,36352027,10753381,0.219,PCSR,SET,
copresence-InVS15,1871,1283194,Traverse,CSR,221200.1,6873856,4276960,0.461,CSR,CSR,MATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,407851.1,9368829,1376080,0.109,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,BCSR,23852079.8,65713464,32834325,0.370,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,SET,348125744.0,32885591598,3862567104,0.087,CSR,CSR,
