graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
fb-pages-company,14113,52126,Insert,SET,1785805.5,1917087,165133,0.064,PCSR,PCSR,
fb-pages-company,14113,52126,Traverse,CSR,553952.2,781349,118803,0.113,CSR,CSR,MATCH
fb-pages-company,14113,52126,Traverse,PCSR,586694.3,894172,148341,0.123,CSR,CSR,
fb-pages-company,14113,52126,Traverse,BCSR,2485739.6,2509415,157361,0.046,CSR,CSR,
fb-pages-company,14113,52126,Traverse,SET,213347914.6,2119070730,23844808,0.008,CSR,CSR,
ia-dbpedia,365493,780132,Insert,CSR,18763347.3,25951909,1348497,0.039,PCSR,PCSR,MATCH
ia-dbpedia,365493,780132,Insert,PCSR,1039.3,3743556,316866,0.063,PCSR,PCSR,
ia-dbpedia,365493,780132,Insert,BCSR,17007969.5,20723958,2119704,0.076,PCSR,PCSR,
ia-dbpedia,365493,780132,Insert,SET,46821441.5,37895101,986625,0.019,PCSR,PCSR,
ia-dbpedia,365493,780132,Traverse,CSR,14346038.8,12889224,1269003,0.073,CSR,CSR,TIE
ia-dbpedia,365493,780132,Traverse,PCSR,14346038.8,13217093,344796,0.019,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,BCSR,43176126.7,37091787,2074750,0.041,CSR,CSR,
ia-dbpedia,365493,780132,Traverse,SET,82688931643.9,,,,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Insert,CSR,118157151.8,96676253,3739904,0.029,PCSR,PCSR,MATCH
inf-roadNet-PA,1087563,1541514,Insert,PCSR,1039.3,7224315,436904,0.045,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,BCSR,139145871.9,101187415,4362792,0.032,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Insert,SET,92504361.5,80505180,6049826,0.056,PCSR,PCSR,
inf-roadNet-PA,1087563,1541514,Traverse,CSR,42688152.8,31146808,1263223,0.030,CSR,CSR,MATCH
inf-roadNet-PA,1087563,1541514,Traverse,PCSR,42688152.8,33488325,2338211,0.052,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,BCSR,98197368.3,86282835,2941416,0.025,CSR,CSR,
inf-roadNet-PA,1087563,1541514,Traverse,SET,486185033570.4,,,,CSR,CSR,
