system,algo,graph,real,user,sys,metric_source,log
p2grapheasy,bfs_parent,web-google,0.0,0.0,0.01,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/bfs_parent/web-google.txt
p2grapheasy,bfs_parent,web-hudong,0.51,0.97,0.24,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/bfs_parent/web-hudong.txt
p2grapheasy,cc,ER-AvgDeg10-1M-L2,0.3,0.41,0.12,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/cc/ER-AvgDeg10-1M-L2.txt
p2grapheasy,cc,road-belgium-osm,0.73,0.74,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/cc/road-belgium-osm.txt
p2grapheasy,cc,rt-retweet-crawl,0.12,0.16,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/cc/rt-retweet-crawl.txt
p2grapheasy,cc,web-google,0.0,0.0,0.01,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/cc/web-google.txt
p2grapheasy,cc,web-hudong,0.46,0.96,0.22,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/cc/web-hudong.txt
p2grapheasy,kcore,ER-AvgDeg10-1M-L2,0.14,0.27,0.09,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/kcore/ER-AvgDeg10-1M-L2.txt
p2grapheasy,kcore,road-belgium-osm,0.08,0.1,0.05,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/kcore/road-belgium-osm.txt
p2grapheasy,kcore,rt-retweet-crawl,0.08,0.13,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/kcore/rt-retweet-crawl.txt
p2grapheasy,kcore,web-google,0.0,0.0,0.01,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/kcore/web-google.txt
p2grapheasy,kcore,web-hudong,0.39,0.89,0.22,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/kcore/web-hudong.txt
p2grapheasy,pagerank,ER-AvgDeg10-1M-L2,0.52,0.66,0.09,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/pagerank/ER-AvgDeg10-1M-L2.txt
p2grapheasy,pagerank,road-belgium-osm,0.19,0.2,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/pagerank/road-belgium-osm.txt
p2grapheasy,pagerank,rt-retweet-crawl,0.28,0.34,0.04,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/pagerank/rt-retweet-crawl.txt
p2grapheasy,pagerank,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/pagerank/web-google.txt
p2grapheasy,pagerank,web-hudong,1.36,1.84,0.22,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/pagerank/web-hudong.txt
p2grapheasy,sssp,ER-AvgDeg10-1M-L2,0.64,0.79,0.15,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/sssp/ER-AvgDeg10-1M-L2.txt
p2grapheasy,sssp,road-belgium-osm,0.3,0.32,0.08,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/sssp/road-belgium-osm.txt
p2grapheasy,sssp,rt-retweet-crawl,0.47,0.51,0.1,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/sssp/rt-retweet-crawl.txt
p2grapheasy,sssp,web-google,0.0,0.0,0.01,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/sssp/web-google.txt
p2grapheasy,sssp,web-hudong,11.7,12.17,0.39,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p2grapheasy/sssp/web-hudong.txt
p1grapheasy_autotuner,bfs_parent,ER-AvgDeg10-1M-L2,0.39,0.49,0.17,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/bfs_parent/ER-AvgDeg10-1M-L2.txt
p1grapheasy_autotuner,bfs_parent,road-belgium-osm,0.19,0.21,0.06,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/bfs_parent/road-belgium-osm.txt
p1grapheasy_autotuner,bfs_parent,rt-retweet-crawl,0.31,0.35,0.07,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/bfs_parent/rt-retweet-crawl.txt
p1grapheasy_autotuner,bfs_parent,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/bfs_parent/web-google.txt
p1grapheasy_autotuner,bfs_parent,web-hudong,0.9,1.37,0.37,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/bfs_parent/web-hudong.txt
p1grapheasy_autotuner,cc,ER-AvgDeg10-1M-L2,0.33,0.45,0.15,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/cc/ER-AvgDeg10-1M-L2.txt
p1grapheasy_autotuner,cc,road-belgium-osm,1.39,2.57,0.95,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/cc/road-belgium-osm.txt
p1grapheasy_autotuner,cc,rt-retweet-crawl,0.14,0.18,0.07,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/cc/rt-retweet-crawl.txt
p1grapheasy_autotuner,cc,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/cc/web-google.txt
