system,algo,graph,real,user,sys,metric_source,log
ligra,pagerank,rt-retweet-crawl,0.15,2.02,0.11,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/pagerank/rt-retweet-crawl.txt
ligra,pagerank,web-google,0.0,0.0,0.01,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/pagerank/web-google.txt
ligra,pagerank,web-hudong,1.84,9.79,0.55,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/pagerank/web-hudong.txt
ligra,sssp,ER-AvgDeg10-1M-L2,0.22,2.07,0.43,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/sssp/ER-AvgDeg10-1M-L2.txt
ligra,sssp,road-belgium-osm,0.34,0.98,1.05,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/sssp/road-belgium-osm.txt
ligra,sssp,rt-retweet-crawl,0.13,1.09,0.18,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/sssp/rt-retweet-crawl.txt
ligra,sssp,web-google,0.0,0.0,0.01,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/sssp/web-google.txt
ligra,sssp,web-hudong,0.58,4.63,1.06,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/ligra/sssp/web-hudong.txt
graptor,bfs_parent,ER-AvgDeg10-1M-L2,0.06,0.33,0.14,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/bfs_parent/ER-AvgDeg10-1M-L2.txt
graptor,bfs_parent,road-belgium-osm,0.1,1.19,0.05,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/bfs_parent/road-belgium-osm.txt
graptor,bfs_parent,rt-retweet-crawl,0.04,0.2,0.09,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/bfs_parent/rt-retweet-crawl.txt
graptor,bfs_parent,web-google,0.0,0.0,0.01,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/bfs_parent/web-google.txt
graptor,bfs_parent,web-hudong,0.14,1.31,0.17,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/bfs_parent/web-hudong.txt
graptor,cc,ER-AvgDeg10-1M-L2,0.07,0.76,0.08,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/cc/ER-AvgDeg10-1M-L2.txt
graptor,cc,road-belgium-osm,0.08,0.66,0.17,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/cc/road-belgium-osm.txt
graptor,cc,rt-retweet-crawl,0.07,0.64,0.11,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/cc/rt-retweet-crawl.txt
graptor,cc,web-google,0.0,0.0,0.01,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/cc/web-google.txt
graptor,cc,web-hudong,0.18,1.87,0.35,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/cc/web-hudong.txt
graptor,kcore,ER-AvgDeg10-1M-L2,0.08,0.73,0.2,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/kcore/ER-AvgDeg10-1M-L2.txt
graptor,kcore,road-belgium-osm,0.06,0.2,0.26,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/kcore/road-belgium-osm.txt
graptor,kcore,rt-retweet-crawl,0.1,0.35,0.47,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/kcore/rt-retweet-crawl.txt
graptor,kcore,web-google,0.0,0.0,0.01,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/kcore/web-google.txt
graptor,kcore,web-hudong,0.31,2.14,1.4,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/kcore/web-hudong.txt
graptor,pagerank,ER-AvgDeg10-1M-L2,0.09,0.98,0.12,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/pagerank/ER-AvgDeg10-1M-L2.txt
graptor,pagerank,road-belgium-osm,0.05,0.28,0.08,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/pagerank/road-belgium-osm.txt
graptor,pagerank,rt-retweet-crawl,0.06,0.47,0.04,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/pagerank/rt-retweet-crawl.txt
graptor,pagerank,web-google,0.0,0.0,0.01,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/pagerank/web-google.txt
graptor,pagerank,web-hudong,0.29,3.78,0.26,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/pagerank/web-hudong.txt
graptor,sssp,ER-AvgDeg10-1M-L2,0.23,1.11,1.93,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/sssp/ER-AvgDeg10-1M-L2.txt
graptor,sssp,road-belgium-osm,2.85,2.91,13.59,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/sssp/road-belgium-osm.txt
graptor,sssp,rt-retweet-crawl,0.15,0.53,0.87,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/sssp/rt-retweet-crawl.txt
graptor,sssp,web-google,0.01,0.0,0.06,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/sssp/web-google.txt
graptor,sssp,web-hudong,0.38,2.77,1.71,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graptor/sssp/web-hudong.txt
bgl,bfs_parent,ER-AvgDeg10-1M-L2,0.45,0.33,0.12,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/bfs_parent/ER-AvgDeg10-1M-L2.txt
bgl,bfs_parent,road-belgium-osm,0.19,0.14,0.05,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/bfs_parent/road-belgium-osm.txt
bgl,bfs_parent,rt-retweet-crawl,0.42,0.36,0.05,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/bfs_parent/rt-retweet-crawl.txt
bgl,bfs_parent,web-google,0.0,0.0,0.0,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/bfs_parent/web-google.txt
bgl,bfs_parent,web-hudong,1.69,1.4,0.29,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/bfs_parent/web-hudong.txt
bgl,cc,ER-AvgDeg10-1M-L2,1.51,1.3,0.2,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/cc/ER-AvgDeg10-1M-L2.txt
bgl,cc,road-belgium-osm,0.3,0.24,0.06,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/cc/road-belgium-osm.txt
bgl,cc,rt-retweet-crawl,0.64,0.54,0.09,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/cc/rt-retweet-crawl.txt
bgl,cc,web-google,0.0,0.0,0.0,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/cc/web-google.txt
bgl,cc,web-hudong,2.7,2.25,0.44,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/cc/web-hudong.txt
bgl,sssp,ER-AvgDeg10-1M-L2,0.6,0.48,0.11,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/sssp/ER-AvgDeg10-1M-L2.txt
bgl,sssp,road-belgium-osm,0.23,0.18,0.04,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/sssp/road-belgium-osm.txt
bgl,sssp,rt-retweet-crawl,0.53,0.47,0.06,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/sssp/rt-retweet-crawl.txt
bgl,sssp,web-google,0.0,0.0,0.0,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/sssp/web-google.txt
bgl,sssp,web-hudong,3.55,3.26,0.28,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/bgl/sssp/web-hudong.txt
graph_tool,bfs_parent,ER-AvgDeg10-1M-L2,1.83,2.44,2.05,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/bfs_parent/ER-AvgDeg10-1M-L2.txt
graph_tool,bfs_parent,road-belgium-osm,0.98,1.67,1.96,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/bfs_parent/road-belgium-osm.txt
graph_tool,bfs_parent,rt-retweet-crawl,1.1,1.79,1.95,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/bfs_parent/rt-retweet-crawl.txt
graph_tool,bfs_parent,web-google,0.54,1.23,1.95,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/bfs_parent/web-google.txt
graph_tool,bfs_parent,web-hudong,5.96,6.5,2.11,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/bfs_parent/web-hudong.txt
graph_tool,cc,ER-AvgDeg10-1M-L2,1.75,2.34,2.04,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/cc/ER-AvgDeg10-1M-L2.txt
graph_tool,cc,road-belgium-osm,0.83,1.51,1.97,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/cc/road-belgium-osm.txt
graph_tool,cc,rt-retweet-crawl,1.07,1.69,1.96,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/cc/rt-retweet-crawl.txt
graph_tool,cc,web-google,0.54,1.24,1.95,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/cc/web-google.txt
graph_tool,cc,web-hudong,2.67,3.18,2.12,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/cc/web-hudong.txt
graph_tool,kcore,ER-AvgDeg10-1M-L2,1.74,2.39,2.02,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/kcore/ER-AvgDeg10-1M-L2.txt
graph_tool,kcore,road-belgium-osm,0.85,1.55,1.94,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/kcore/road-belgium-osm.txt
graph_tool,kcore,rt-retweet-crawl,1.08,1.72,1.98,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/kcore/rt-retweet-crawl.txt
graph_tool,kcore,web-google,0.54,1.28,1.87,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/kcore/web-google.txt
graph_tool,kcore,web-hudong,2.94,3.41,2.18,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/kcore/web-hudong.txt
graph_tool,pagerank,ER-AvgDeg10-1M-L2,1.73,6.62,3.96,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/pagerank/ER-AvgDeg10-1M-L2.txt
graph_tool,pagerank,road-belgium-osm,0.92,4.81,3.94,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/pagerank/road-belgium-osm.txt
graph_tool,pagerank,rt-retweet-crawl,1.12,4.62,3.81,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/pagerank/rt-retweet-crawl.txt
graph_tool,pagerank,web-google,0.54,1.25,1.96,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/pagerank/web-google.txt
graph_tool,pagerank,web-hudong,3.5,9.81,4.17,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/pagerank/web-hudong.txt
graph_tool,sssp,ER-AvgDeg10-1M-L2,1.71,2.28,2.07,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/sssp/ER-AvgDeg10-1M-L2.txt
graph_tool,sssp,road-belgium-osm,0.88,1.51,2.02,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/sssp/road-belgium-osm.txt
graph_tool,sssp,rt-retweet-crawl,1.1,1.7,2.04,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/sssp/rt-retweet-crawl.txt
graph_tool,sssp,web-google,0.54,1.33,1.88,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/sssp/web-google.txt
graph_tool,sssp,web-hudong,4.96,5.36,2.18,outer_command,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/graph_tool/sssp/web-hudong.txt
