graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
copresence-InVS15,1871,1283194,Insert,CSR,39824383.7,34741298,8259062,0.176,PCSR,CSR,
copresence-InVS15,1871,1283194,Insert,PCSR,10957.3,,,,PCSR,CSR,
copresence-InVS15,1871,1283194,Insert,BCSR,72644332.1,61500532,9039054,0.109,PCSR,CSR,
copresence-InVS15,1871,1283194,Insert,SET,77005161.5,65123555,8732033,0.099,PCSR,CSR,
copresence-InVS15,1871,1283194,Traverse,CSR,221200.1,6649735,2993067,0.334,CSR,CSR,MATCH
copresence-InVS15,1871,1283194,Traverse,PCSR,407851.1,6806346,1723622,0.188,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,BCSR,23852079.8,43409098,3021157,0.052,CSR,CSR,
copresence-InVS15,1871,1283194,Traverse,SET,348125744.0,31849696900,2319694321,0.054,CSR,CSR,
