graph,n_vertices,m_undirected,operation,layout,predicted_ns,measured_kernel_ns,measured_iqr_ns,kernel_cv,predicted_best,measured_best,verdict
synth_n5000_m264_d0.100044,5000,1250304,Traverse,SET,906470400.0,30288149900,232028459,0.006,CSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Insert,CSR,690106.8,455508,51022,0.083,PCSR,PCSR,MISMATCH
synth_n5000_m3_d0.001200,5000,14991,Insert,PCSR,1039.3,161574,16399,0.075,PCSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Insert,BCSR,871410.8,369235,173853,0.349,PCSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Insert,SET,523215.5,532537,67640,0.094,PCSR,PCSR,
synth_n5000_m3_d0.001200,5000,14991,Traverse,CSR,98128.0,271836,44932,0.123,CSR,CSR,MATCH
synth_n5000_m3_d0.001200,5000,14991,Traverse,PCSR,98128.0,275142,35728,0.096,CSR,CSR,
synth_n5000_m3_d0.001200,5000,14991,Traverse,BCSR,376528.0,898873,206635,0.170,CSR,CSR,
synth_n5000_m3_d0.001200,5000,14991,Traverse,SET,10869200.0,231125347,6675936,0.021,CSR,CSR,
synth_n5000_m732_d0.249984,5000,3124176,Insert,CSR,137417679.6,95917824,4364637,0.034,PCSR,PCSR,MATCH
synth_n5000_m732_d0.249984,5000,3124176,Insert,PCSR,10087.3,25095906,1179221,0.035,PCSR,PCSR,
synth_n5000_m732_d0.249984,5000,3124176,Insert,BCSR,258604711.0,199525361,14101737,0.052,PCSR,PCSR,
synth_n5000_m732_d0.249984,5000,3124176,Insert,SET,187464081.5,169909417,4141880,0.018,PCSR,PCSR,
synth_n5000_m732_d0.249984,5000,3124176,Traverse,CSR,550528.0,13233201,300066,0.017,CSR,CSR,MATCH
synth_n5000_m732_d0.249984,5000,3124176,Traverse,PCSR,1002928.0,14877373,679123,0.034,CSR,CSR,
synth_n5000_m732_d0.249984,5000,3124176,Traverse,BCSR,58080728.0,98612969,5172016,0.039,CSR,CSR,
synth_n5000_m732_d0.249984,5000,3124176,Traverse,SET,2265027600.0,88883656945,1035634560,0.009,CSR,CSR,
