tag,N,D,H,layout,actual_ms,dp_predicted_total_ns,dp_predicted_total_ms,dp_forced,num_dp_regions,dp_regions,profile_regions,predicted_op_total_ns,predicted_total_ns,predicted_conversion_ns,measured_traverse_ms,measured_insert_ms,pure_kernel_traverse_ms,pure_kernel_insert_ms,pure_kernel_total_ms,total_conversions,total_conversion_ns,ensure_layout_events,est_n,error
N500_D16_H100,500,16,100,PCSR,10.0,758213.4,0.7582134,PCSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 756700.0, ""predicted_ms"": 0.7567}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 1513.4, ""predicted_ms"": 0.0015134}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 756700.0, ""measured_ns"": 12036819.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 1513.4, ""measured_ns"": 20748.0}]",758213.4,759053.3,839.9088,,,6.545744,0.015345,6.561089,1,76950.0,"[{""graph"": ""0x2404be40"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D16_H100,500,16,100,DP,10.0,710273.4,0.7102734,,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 708760.0, ""predicted_ms"": 0.70876}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 1513.4, ""predicted_ms"": 0.0015134}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 708760.0, ""measured_ns"": 9383160.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 1513.4, ""measured_ns"": 26354.0}]",710273.4,711113.3,839.9088,,,3.978054,0.019881,3.997935,1,112987.0,"[{""graph"": ""0x2143ee40"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D64_H10,500,64,10,CSR,10.0,206525.3,0.2065253,CSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 85258.0, ""predicted_ms"": 0.085258}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 121267.3, ""predicted_ms"": 0.1212673}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 85258.0, ""measured_ns"": 1916180.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 121267.348, ""measured_ns"": 314118.0}]",206525.3,206525.3,0.0,,,0.56624,0.312492,0.878732,0,0.0,[],5.0,
N500_D64_H10,500,64,10,PCSR,10.0,104642.868,0.104642868,PCSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 104434.0, ""predicted_ms"": 0.104434}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 208.868, ""predicted_ms"": 0.000208868}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 104434.0, ""measured_ns"": 2310372.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 208.868, ""measured_ns"": 3735.0}]",104642.9,107640.1,2997.209,,,1.255707,0.002894,1.258601,1,222580.0,"[{""graph"": ""0x10fcc9b0"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D64_H10,500,64,10,DP,10.0,85466.868,0.085466868,,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 85258.0, ""predicted_ms"": 0.085258}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 208.868, ""predicted_ms"": 0.000208868}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 85258.0, ""measured_ns"": 2255354.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 208.868, ""measured_ns"": 45815.0}]",85466.87,88464.08,2997.209,,,0.652257,0.044647,0.696904,1,294299.0,"[{""graph"": ""0x82039b0"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D64_H100,500,64,100,CSR,30.0,2065253.0,2.065253,CSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 852580.0, ""predicted_ms"": 0.85258}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 1212673.0, ""predicted_ms"": 1.212673}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 852580.0, ""measured_ns"": 23097698.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 1212673.48, ""measured_ns"": 2717062.0}]",2065253.0,2065253.0,0.0,,,6.477815,2.709859,9.187674,0,0.0,[],5.0,
N500_D64_H100,500,64,100,PCSR,30.0,1046428.68,1.04642868,PCSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 1044340.0, ""predicted_ms"": 1.04434}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 2088.68, ""predicted_ms"": 0.00208868}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 1044340.0, ""measured_ns"": 24071911.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 2088.68, ""measured_ns"": 28181.0}]",1046429.0,1049426.0,2997.209,,,13.112433,0.023317,13.13575,1,308844.0,"[{""graph"": ""0x1f1819b0"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N500_D64_H100,500,64,100,DP,20.0,854668.68,0.8546686800000001,,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 852580.0, ""predicted_ms"": 0.85258}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 100, ""execCount"": 1.0, ""predicted_ns"": 2088.68, ""predicted_ms"": 0.00208868}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 852580.0, ""measured_ns"": 14982344.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 2088.68, ""measured_ns"": 33142.0}]",854668.7,857665.9,2997.209,,,4.238406,0.027041,4.265447,1,268218.0,"[{""graph"": ""0x22e6c9b0"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
N5000_D2_H10,5000,2,10,CSR,10.0,773421.4,0.7734214,CSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 660820.0, ""predicted_ms"": 0.66082}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 112601.4, ""predicted_ms"": 0.1126014}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 660820.0, ""measured_ns"": 9241213.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""CSR"", ""visits"": 1, ""predicted_ns"": 112601.443, ""measured_ns"": 238209.0}]",773421.4,773421.4,0.0,,,4.138944,0.236836,4.37578,0,0.0,[],5.0,
N5000_D2_H10,5000,2,10,PCSR,10.0,660961.752,0.660961752,PCSR,2,"[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 660820.0, ""predicted_ms"": 0.66082}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""totalOps"": 10, ""execCount"": 1.0, ""predicted_ns"": 141.752, ""predicted_ms"": 0.000141752}]","[{""region"": 0, ""kind"": ""Traverse"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 660820.0, ""measured_ns"": 9131220.0}, {""region"": 1, ""kind"": ""Insert"", ""layout"": ""PCSR"", ""visits"": 1, ""predicted_ns"": 141.752, ""measured_ns"": 2476.0}]",660961.8,663060.6,2098.813,,,4.568799,0.001757,4.570556,1,305440.0,"[{""graph"": ""0x3b9bc900"", ""from"": ""CSR"", ""to"": ""PCSR""}]",5.0,
